,animal_id,n_trials,n_sessions,avg_hit,avg_violation
0,W051,85353,276,0.8029243260342342,0.13717740060451059
1,W060,70650,240,0.8264260438782732,0.13637141529961128
2,W065,59172,296,0.7789495031433786,0.25695054876057966
3,W066,86586,364,0.7890767560575612,0.257282552753474
4,W068,95447,265,0.786907917483001,0.15769176462282466
5,W072,76606,419,0.7965433516956897,0.1588136467952871
6,W073,109510,403,0.854040726874258,0.13103163708211993
7,W074,215007,516,0.8809434111447534,0.0947531072114251
8,W075,196174,553,0.9013426855750507,0.16856046960096632
9,W078,72328,260,0.8605519300962283,0.10242982303740289
10,W080,37402,153,0.7719640660927223,0.13913503809238842
11,W081,31638,115,0.7566533914912447,0.20730607336139506
12,W082,139595,535,0.8119416884558902,0.497443928429996
13,W083,126566,446,0.8161828611159395,0.3360855242451583
14,W088,92620,350,0.800377888145109,0.18564369493730987
15,W089,134697,439,0.8005968952537919,0.11431333096618929
16,W094,52806,156,0.8032041813430292,0.1975259862622333
