animal_id,model_name,nll,sigma,tau,features,weights
W051,t_15,147607.97069052584,0.0,15,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_15']","[array([ 0.33377324,  0.3450728 , -0.67884604]), array([-1.27039227, -1.25701982,  2.52741209]), array([-0.36605608,  0.36355103,  0.00250504]), array([ 0.58677419, -0.63424823,  0.04747404]), array([-0.06540329,  0.0808949 , -0.0154916 ]), array([-0.19045823,  0.20311976, -0.01266153]), array([-0.13847378,  0.14571654, -0.00724276]), array([ 0.24294412,  0.2352419 , -0.47818602])]"
W051,t_18,147608.55925744836,0.0,18,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_18']","[array([ 0.33020008,  0.35496469, -0.68516477]), array([-1.27416882, -1.27113176,  2.54530059]), array([-0.36608304,  0.36355471,  0.00252833]), array([ 0.58681263, -0.63423483,  0.0474222 ]), array([-0.06528701,  0.08107588, -0.01578888]), array([-0.19049821,  0.20311693, -0.01261872]), array([-0.13852861,  0.14586006, -0.00733145]), array([ 0.2520625 ,  0.22264652, -0.47470901])]"
W051,t_20,147608.8734871578,0.0,20,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_20']","[array([ 0.32841184,  0.3600746 , -0.68848644]), array([-1.27677596, -1.27850333,  2.55527929]), array([-0.36609932,  0.36355574,  0.00254358]), array([ 0.58683403, -0.63422918,  0.04739515]), array([-0.06522385,  0.08116006, -0.0159362 ]), array([-0.19051702,  0.2031114 , -0.01259437]), array([-0.13855285,  0.14592715, -0.0073743 ]), array([ 0.25713531,  0.21630099, -0.4734363 ])]"
W051,t_25,147609.75542090897,0.0,25,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_25']","[array([ 0.32569812,  0.36962577, -0.69532389]), array([-1.28345354, -1.29245769,  2.57591123]), array([-0.36613617,  0.36355416,  0.00258201]), array([ 0.5868771 , -0.6342212 ,  0.04734411]), array([-0.06509988,  0.08129897, -0.01619909]), array([-0.19054527,  0.20309283, -0.01254757]), array([-0.13859453,  0.14603938, -0.00744485]), array([ 0.26567544,  0.2040381 , -0.46971354])]"
W051,t_30,147610.99232836047,0.0,30,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_30']","[array([ 0.32425309,  0.37628013, -0.70053322]), array([-1.2896478 , -1.30235906,  2.59200685]), array([-0.36616769,  0.36355049,  0.00261721]), array([ 0.58690833, -0.63421805,  0.04730972]), array([-0.06501265,  0.08138079, -0.01636815]), array([-0.19055814,  0.20307336, -0.01251521]), array([-0.13862214,  0.14610754, -0.0074854 ]), array([ 0.27158395,  0.19566074, -0.46724468])]"
W051,t_0,147402.96865173356,0.1,0,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.4239282 ,  0.37864565, -0.80257386]), array([-1.30986021, -1.2318186 ,  2.54167886]), array([-0.36482587,  0.36254536,  0.00228058]), array([ 0.58512157, -0.63323212,  0.04811065]), array([-0.06787031,  0.07386477, -0.00599444]), array([-0.18837709,  0.20039215, -0.01201508]), array([-0.13382869,  0.14013318, -0.00630452]), array([ 0.08561446,  0.15710005, -0.24271451])]"
W051,t_1,147350.3293617327,0.1,1,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.38310913,  0.311172  , -0.69428112]), array([-1.26361144, -1.15427013,  2.41788066]), array([-0.36494825,  0.36242422,  0.00252411]), array([ 0.5851813 , -0.63326513,  0.04808521]), array([-0.06842906,  0.07329936, -0.00486975]), array([-0.18851227,  0.20064566, -0.01213367]), array([-0.13375031,  0.13930058, -0.00554988]), array([ 0.14617241,  0.25470792, -0.40087902])]"
W051,t_2,147403.61201305134,0.1,2,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_2']","[array([ 0.34814209,  0.25506616, -0.60320825]), array([-1.22808765, -1.09642641,  2.32451407]), array([-0.36503752,  0.36235014,  0.00268738]), array([ 0.58530755, -0.63320223,  0.04789468]), array([-0.06804032,  0.07450972, -0.0064694 ]), array([-0.18912627,  0.20140531, -0.01227903]), array([-0.13485788,  0.14018344, -0.00532556]), array([ 0.1973569 ,  0.33689179, -0.5342487 ])]"
W051,t_3,147471.27189447556,0.1,3,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_3']","[array([ 0.33388006,  0.2360358 , -0.56991586]), array([-1.21762933, -1.08415448,  2.30178382]), array([-0.36505641,  0.36235744,  0.00269895]), array([ 0.5853896 , -0.63313516,  0.04774556]), array([-0.06748769,  0.075895  , -0.00840731]), array([-0.18960706,  0.20199308, -0.01238603]), array([-0.13584304,  0.14138067, -0.00553761]), array([ 0.21876959,  0.36714292, -0.58591252])]"
W051,t_4,147521.33095365576,0.1,4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_4']","[array([ 0.32911025,  0.23650138, -0.56561162]), array([-1.21772505, -1.09370679,  2.31143184]), array([-0.36505356,  0.36238627,  0.0026673 ]), array([ 0.58544174, -0.63307395,  0.0476322 ]), array([-0.06703092,  0.07704109, -0.01001018]), array([-0.18991775,  0.2023822 , -0.01246444]), array([-0.13655595,  0.14239493, -0.00583897]), array([ 0.22678317,  0.36970976, -0.59649294])]"
