animal_id,model_name,nll,sigma,tau,features,weights
W081,t_7,169222.19002919173,0.4,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.51343651,  0.51301592, -1.02645243]), array([-0.36452427,  0.36052779,  0.00399648]), array([ 0.58066021, -0.6275692 ,  0.04690899]), array([-0.06143965,  0.07991049, -0.01847084]), array([-0.18111662,  0.19157292, -0.0104563 ]), array([-0.13204462,  0.13529761, -0.00325299]), array([-1.49838113, -1.50170888,  3.00009001])]"
W081,t_2,169614.72131800346,0.5,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.43065645,  0.43263533, -0.86329178]), array([-0.36427632,  0.36031145,  0.00396487]), array([ 0.57959728, -0.62798043,  0.04838315]), array([-0.056764  ,  0.08101573, -0.02425172]), array([-0.17174694,  0.18595445, -0.0142075 ]), array([-0.13037356,  0.13285766, -0.0024841 ]), array([-1.16547006, -1.18332871,  2.34879878])]"
W081,t_3,168570.91849418473,0.5,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.46719117,  0.46929675, -0.93648793]), array([-0.36425931,  0.36051506,  0.00374384]), array([ 0.57965472, -0.62848908,  0.0488346 ]), array([-0.05815799,  0.08040238, -0.02224437]), array([-0.17407617,  0.18735785, -0.0132816 ]), array([-0.13073136,  0.13338296, -0.00265148]), array([-1.30054006, -1.31842758,  2.61896765])]"
W081,t_4,168373.62307373388,0.5,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.48739834,  0.48918181, -0.97658015]), array([-0.36429234,  0.36059394,  0.00369823]), array([ 0.57984209, -0.62849761,  0.04865594]), array([-0.05930271,  0.08006965, -0.02076687]), array([-0.17619654,  0.18865653, -0.01246002]), array([-0.13114176,  0.13391113, -0.00276937]), array([-1.38157429, -1.39718181,  2.7787561 ])]"
W081,t_5,168525.71931573702,0.5,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.49984021,  0.50101144, -1.00085165]), array([-0.36435236,  0.36061955,  0.00373281]), array([ 0.58009271, -0.62828834,  0.04819564]), array([-0.06018857,  0.07992179, -0.01973322]), array([-0.17804164,  0.18978574, -0.0117441 ]), array([-0.13149228,  0.1344087 , -0.00291642]), array([-1.43484303, -1.44681727,  2.88166029])]"
W081,t_6,168837.44874620694,0.5,6,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_6']","[array([ 0.50800187,  0.50841273, -1.0164146 ]), array([-0.36444094,  0.36059785,  0.00384331]), array([ 0.58038185, -0.62796723,  0.04758415]), array([-0.06088062,  0.07988664, -0.01900602]), array([-0.17966532,  0.19074893, -0.01108428]), array([-0.13178951,  0.13486833, -0.00307897]), array([-1.47192675, -1.47968031,  2.9516073 ])]"
W081,t_7,169222.2737369739,0.5,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.51358119,  0.51316077, -1.02674196]), array([-0.36454431,  0.36054877,  0.00399489]), array([ 0.58068276, -0.62759923,  0.04691675]), array([-0.06143837,  0.0799131 , -0.01847454]), array([-0.18111452,  0.19157299, -0.01045851]), array([-0.13204534,  0.13529907, -0.0032538 ]), array([-1.49883387, -1.50216559,  3.00099917])]"
W082,t_2,169614.88438829657,0.0,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.43078027,  0.43276066, -0.86354093]), array([-0.3643109 ,  0.36034885,  0.00396205]), array([ 0.57963713, -0.62803122,  0.04839409]), array([-0.05676189,  0.08102126, -0.02425937]), array([-0.1717435 ,  0.18595555, -0.01421205]), array([-0.13037649,  0.13286142, -0.00248493]), array([-1.16582045, -1.18369543,  2.34951589])]"
W082,t_3,168571.09511489642,0.0,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.46735773,  0.4694653 , -0.93682303]), array([-0.36429382,  0.36055281,  0.00374101]), array([ 0.57969413, -0.62854141,  0.04884728]), array([-0.05815565,  0.08040763, -0.02225198]), array([-0.17407214,  0.18735847, -0.01328634]), array([-0.13073375,  0.13338627, -0.00265252]), array([-1.30103003, -1.31893644,  2.61996647])]"
W082,t_4,168373.8005067418,0.0,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.48759648,  0.48938196, -0.97697844]), array([-0.36432706,  0.36063168,  0.00369538]), array([ 0.57988136, -0.62855076,  0.04866939]), array([-0.0593004 ,  0.08007461, -0.02077421]), array([-0.17619232,  0.18865697, -0.01246465]), array([-0.13114374,  0.13391419, -0.00277045]), array([-1.38217207, -1.39779799,  2.77997006])]"
