animal_id,model_name,nll,sigma,features,weights
W051,prev_reward_inc_delay,172201.05002779557,0.01,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded', 'prev_delayed_rewarded']","[array([ 0.16431647,  0.14429858, -0.30861506]), array([-0.64921203, -0.63245335,  1.28166538]), array([-0.28042324,  0.27361197,  0.00681126]), array([ 0.48569967, -0.52341602,  0.03771635]), array([-0.0665175 ,  0.05706955,  0.00944795]), array([-0.17663564,  0.18530457, -0.00866893]), array([-0.1112971,  0.1157976, -0.0045005]), array([ 0.19600685,  0.24264445, -0.43865131]), array([ 0.04069554,  0.00721967, -0.04791521])]"
W051,psytrack,191690.56171885887,0.05,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.03032712,  0.03938752, -0.06971464]), array([-0.34743677,  0.34066753,  0.00676927]), array([ 0.56655021, -0.60373739,  0.03718715]), array([-0.07509202,  0.08181418, -0.00672214]), array([-0.21446272,  0.21982657, -0.00536393]), array([-0.14813753,  0.15295479, -0.00481726])]"
W051,prev_violation,178683.6773889413,0.05,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.2425646 ,  0.25277253, -0.49533713]), array([-0.59501153, -0.60633833,  1.20134967]), array([-0.34776497,  0.34228254,  0.00548234]), array([ 0.56588553, -0.60930436,  0.04341882]), array([-0.05944607,  0.0784343 , -0.01898822]), array([-0.17852399,  0.19488191, -0.01635805]), array([-0.13328997,  0.13665729, -0.003367  ])]"
W051,prev_violation_filter,168606.82128549513,0.05,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.46274439,  0.47349551, -0.93623991]), array([-1.3225549 , -1.33552153,  2.65807632]), array([-0.3477652 ,  0.34369192,  0.00407312]), array([ 0.56594887, -0.61362641,  0.04767752]), array([-0.06080289,  0.07647088, -0.01566801]), array([-0.18100967,  0.19612956, -0.01512023]), array([-0.13128618,  0.1363836 , -0.0050969 ])]"
W051,prev_reward,168290.7125170313,0.05,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.39672327,  0.36199543, -0.7587187 ]), array([-1.24617078, -1.20737246,  2.45354324]), array([-0.34779796,  0.34417839,  0.00361955]), array([ 0.56594855, -0.61467976,  0.0487312 ]), array([-0.06506109,  0.06828739, -0.0032263 ]), array([-0.17945659,  0.19358634, -0.01412973]), array([-0.12469856,  0.12977857, -0.00508001]), array([ 0.10273197,  0.16509345, -0.26782543])]"
W051,prev_reward_filter,168230.99437786418,0.05,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.35139929,  0.29048298, -0.64188226]), array([-1.19590007, -1.12753662,  2.32343669]), array([-0.34798446,  0.34431167,  0.00367279]), array([ 0.56617642, -0.61505662,  0.0488802 ]), array([-0.06552699,  0.06771778, -0.00219079]), array([-0.17951833,  0.19395958, -0.01444125]), array([-0.12464978,  0.12885328, -0.0042035 ]), array([ 0.17020008,  0.26889478, -0.43909485])]"
W051,prev_reward_inc_delay,168280.80567102693,0.05,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded', 'prev_delayed_rewarded']","[array([ 0.39245031,  0.36598586, -0.75843616]), array([-1.24289926, -1.21043494,  2.4533342 ]), array([-0.3479316,  0.3443008,  0.0036308]), array([ 0.56608207, -0.61480606,  0.04872399]), array([-0.0651232 ,  0.06836318, -0.00323997]), array([-0.17959383,  0.19388183, -0.014288  ]), array([-0.12456998,  0.12952433, -0.00495436]), array([ 0.10655002,  0.16149297, -0.26804299]), array([ 0.05656162, -0.05314993, -0.00341169])]"
W051,psytrack,191688.4446910879,0.1,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.03001338,  0.03906506, -0.06907843]), array([-0.35003742,  0.34332626,  0.00671116]), array([ 0.56968162, -0.60698851,  0.0373069 ]), array([-0.07544373,  0.08218077, -0.00673704]), array([-0.2149978 ,  0.22038024, -0.00538245]), array([-0.14869399,  0.15352864, -0.00483465])]"
W051,prev_violation,178683.66120821718,0.1,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.24438172,  0.25461201, -0.49899373]), array([-0.60010599, -0.61180035,  1.21190634]), array([-0.35036836,  0.34499619,  0.00537217]), array([ 0.56899345, -0.6127274 ,  0.04373395]), array([-0.05956319,  0.07878092, -0.01921774]), array([-0.17862186,  0.19518736, -0.0165655 ]), array([-0.13369642,  0.13706763, -0.00337121])]"
W051,prev_violation_filter,168581.42688839955,0.1,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.47693387,  0.48780253, -0.96473639]), array([-1.36531876, -1.37928234,  2.7446011 ]), array([-0.35038669,  0.34649858,  0.00388812]), array([ 0.56893739, -0.61755374,  0.04861635]), array([-0.06069426,  0.07680247, -0.01610821]), array([-0.18065551,  0.19624312, -0.01558761]), array([-0.13144616,  0.13661218, -0.00516602])]"
W051,prev_reward,168262.5429998227,0.1,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.41643261,  0.38105381, -0.79748642]), array([-1.29413823, -1.25353186,  2.54767008]), array([-0.35041711,  0.34694412,  0.00347298]), array([ 0.56896123, -0.61847342,  0.04951219]), array([-0.06451285,  0.06908729, -0.00457445]), array([-0.17931309,  0.19385825, -0.01454514]), array([-0.12546574,  0.13053845, -0.00507272]), array([ 0.09269931,  0.15562761, -0.24832697])]"
W051,prev_reward_filter,168202.7505480285,0.1,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.3767719 ,  0.31358703, -0.69035893]), array([-1.24947908, -1.17633931,  2.42581827]), array([-0.35059083,  0.34705953,  0.00353186]), array([ 0.56919016, -0.61878377,  0.04959379]), array([-0.06487071,  0.06859128, -0.00372046]), array([-0.17942384,  0.19423099, -0.01480702]), array([-0.12550105,  0.12973028, -0.00422968]), array([ 0.15094331,  0.252107  , -0.4030502 ])]"
W051,prev_reward_inc_delay,168250.22616298753,0.1,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded', 'prev_delayed_rewarded']","[array([ 0.41235625,  0.38601399, -0.79837023]), array([-1.29099551, -1.25759225,  2.54858765]), array([-0.35055018,  0.3470976 ,  0.00345253]), array([ 0.56909655, -0.61863747,  0.04954088]), array([-0.06458041,  0.06917999, -0.00459957]), array([-0.17946137,  0.1942266 , -0.01476525]), array([-0.12532409,  0.13022155, -0.00489754]), array([ 0.09639036,  0.15120695, -0.24759726]), array([ 0.0534838 , -0.06483922,  0.01135542])]"
W051,psytrack,191688.00976940966,0.2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.02993405,  0.03898354, -0.06891759]), array([-0.35069357,  0.34399709,  0.0066965 ]), array([ 0.57047164, -0.60780861,  0.03733705]), array([-0.07553241,  0.08227318, -0.00674077]), array([-0.21513242,  0.22051947, -0.00538715]), array([-0.14883445,  0.1536734 , -0.00483907])]"
W051,prev_violation,178684.06394968083,0.2,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.24484232,  0.25507842, -0.49992074]), array([-0.60139491, -0.6131841 ,  1.21457901]), array([-0.35102516,  0.34568118,  0.00534398]), array([ 0.5697774 , -0.61359168,  0.04381428]), array([-0.05959232,  0.0788685 , -0.01927618]), array([-0.17864577,  0.1952641 , -0.01661833]), array([-0.13379894,  0.13717119, -0.00337225])]"
W051,prev_violation_filter,168580.56075687648,0.2,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.48071029,  0.49161159, -0.97232188]), array([-1.37669736, -1.39093527,  2.76763264]), array([-0.35104812,  0.34720874,  0.0038394 ]), array([ 0.56968743, -0.61855543,  0.04886798]), array([-0.060662  ,  0.07688766, -0.01622566]), array([-0.18055798,  0.19627038, -0.01571239]), array([-0.13148353,  0.13666803, -0.0051845 ])]"
W051,prev_reward,168260.80022042006,0.2,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.42173926,  0.3861913 , -0.80793056]), array([-1.30702276, -1.26592548,  2.57294831]), array([-0.35107852,  0.34764272,  0.0034358 ]), array([ 0.56971854, -0.61943896,  0.04972068]), array([-0.0643611 ,  0.0692999 , -0.00493877]), array([-0.17927069,  0.1939278 , -0.01465735]), array([-0.12566599,  0.13073485, -0.00506871]), array([ 0.08997707,  0.15304842, -0.24302561])]"
W051,prev_reward_filter,168200.8238420211,0.2,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.38375509,  0.31997051, -0.7037256 ]), array([-1.26410508, -1.18965483,  2.45375991]), array([-0.35124918,  0.34775225,  0.00349692]), array([ 0.56994775, -0.61973047,  0.04978272]), array([-0.06468393,  0.06882951, -0.00414558]), array([-0.17939465,  0.19430094, -0.01490628]), array([-0.12572893,  0.12996283, -0.00423391]), array([ 0.14554935,  0.24735689, -0.39290624])]"
W051,prev_reward_inc_delay,168247.84373484412,0.2,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded', 'prev_delayed_rewarded']","[array([ 0.41773486,  0.39143864, -0.8091735 ]), array([-1.30393345, -1.27028888,  2.57422233]), array([-0.35121105,  0.34780539,  0.00340566]), array([ 0.5698539 , -0.61961441,  0.04976053]), array([-0.06443006,  0.06939752, -0.00496748]), array([-0.17942179,  0.19431748, -0.0148957 ]), array([-0.12552096,  0.13039982, -0.00487884]), array([ 0.09361871,  0.14838609, -0.24200479]), array([ 0.05247518, -0.06823408,  0.0157589 ])]"
W051,psytrack,191687.93346150132,0.3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.02991932,  0.03896839, -0.06888771]), array([-0.35081534,  0.34412159,  0.00669377]), array([ 0.57061822, -0.60796082,  0.03734263]), array([-0.07554886,  0.08229033, -0.00674147]), array([-0.21515734,  0.22054533, -0.00538799]), array([-0.14886047,  0.15370031, -0.00483984])]"
W051,prev_violation,178684.15680909948,0.3,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.2449279 ,  0.25516508, -0.50009298]), array([-0.60163428, -0.61344116,  1.21507545]), array([-0.35114705,  0.34580832,  0.00533873]), array([ 0.56992289, -0.61375211,  0.04382923]), array([-0.05959771,  0.07888476, -0.01928706]), array([-0.17865017,  0.19527832, -0.01662816]), array([-0.13381797,  0.13719041, -0.00337245])]"
W051,prev_violation_filter,168580.67000694032,0.3,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.48142057,  0.49232808, -0.97374865]), array([-1.37883739, -1.39312729,  2.7719647 ]), array([-0.35117088,  0.34734061,  0.00383026]), array([ 0.56982644, -0.61874185,  0.0489154 ]), array([-0.06065577,  0.07690355, -0.01624777]), array([-0.18053949,  0.19627538, -0.01573588]), array([-0.13149033,  0.1366783 , -0.00518798])]"
