animal_id,session,choice,proportion,Choice,percentage
W051,371,0,0.45145631067961167,Left,45.15
W051,371,1,0.441747572815534,Right,44.17
W051,371,2,0.10679611650485436,Violation,10.68
W051,373,1,0.46503496503496505,Right,46.5
W051,373,0,0.44405594405594406,Left,44.41
W051,373,2,0.09090909090909091,Violation,9.09
W051,374,1,0.4806451612903226,Right,48.06
W051,374,0,0.4032258064516129,Left,40.32
W051,374,2,0.11612903225806452,Violation,11.61
W051,375,1,0.4097222222222222,Right,40.97
W051,375,0,0.3958333333333333,Left,39.58
W051,375,2,0.19444444444444445,Violation,19.44
W051,376,0,0.42670157068062825,Left,42.67
W051,376,1,0.4031413612565445,Right,40.31
W051,376,2,0.17015706806282724,Violation,17.02
W051,377,1,0.4160206718346253,Right,41.6
W051,377,0,0.4134366925064599,Left,41.34
W051,377,2,0.17054263565891473,Violation,17.05
W051,378,1,0.4252199413489736,Right,42.52
W051,378,0,0.39296187683284456,Left,39.3
W051,378,2,0.18181818181818182,Violation,18.18
W051,379,1,0.392018779342723,Right,39.2
W051,379,0,0.38497652582159625,Left,38.5
W051,379,2,0.22300469483568075,Violation,22.3
W051,380,0,0.43874643874643876,Left,43.87
W051,380,1,0.42165242165242167,Right,42.17
W051,380,2,0.1396011396011396,Violation,13.96
W051,381,1,0.4368421052631579,Right,43.68
W051,381,0,0.3868421052631579,Left,38.68
W051,381,2,0.1763157894736842,Violation,17.63
W051,382,1,0.4375,Right,43.75
W051,382,0,0.4276315789473684,Left,42.76
W051,382,2,0.13486842105263158,Violation,13.49
W051,383,0,0.45565749235474007,Left,45.57
W051,383,1,0.42813455657492355,Right,42.81
W051,383,2,0.1162079510703364,Violation,11.62
W051,384,1,0.4808259587020649,Right,48.08
W051,384,0,0.41002949852507375,Left,41.0
W051,384,2,0.10914454277286136,Violation,10.91
W051,385,1,0.4214876033057851,Right,42.15
W051,385,0,0.3939393939393939,Left,39.39
W051,385,2,0.18457300275482094,Violation,18.46
W051,386,0,0.4463768115942029,Left,44.64
W051,386,1,0.43478260869565216,Right,43.48
W051,386,2,0.11884057971014493,Violation,11.88
W051,387,0,0.42592592592592593,Left,42.59
W051,387,1,0.4104938271604938,Right,41.05
W051,387,2,0.16358024691358025,Violation,16.36
W051,388,0,0.4421052631578947,Left,44.21
W051,388,1,0.40789473684210525,Right,40.79
W051,388,2,0.15,Violation,15.0
W051,389,1,0.45689655172413796,Right,45.69
W051,389,0,0.4396551724137931,Left,43.97
W051,389,2,0.10344827586206896,Violation,10.34
W051,390,0,0.4894366197183099,Left,48.94
W051,390,1,0.397887323943662,Right,39.79
W051,390,2,0.11267605633802817,Violation,11.27
W051,391,0,0.4584527220630373,Left,45.85
W051,391,1,0.44126074498567336,Right,44.13
W051,391,2,0.10028653295128939,Violation,10.03
W051,392,0,0.44970414201183434,Left,44.97
W051,392,1,0.40828402366863903,Right,40.83
W051,392,2,0.14201183431952663,Violation,14.2
W051,393,0,0.46629213483146065,Left,46.63
W051,393,1,0.41853932584269665,Right,41.85
W051,393,2,0.1151685393258427,Violation,11.52
W051,394,0,0.41156462585034015,Left,41.16
W051,394,1,0.391156462585034,Right,39.12
W051,394,2,0.19727891156462585,Violation,19.73
W051,395,0,0.4148936170212766,Left,41.49
W051,395,1,0.41134751773049644,Right,41.13
W051,395,2,0.17375886524822695,Violation,17.38
W051,396,1,0.45051194539249145,Right,45.05
W051,396,0,0.40273037542662116,Left,40.27
W051,396,2,0.14675767918088736,Violation,14.68
W051,397,0,0.4248927038626609,Left,42.49
W051,397,1,0.4206008583690987,Right,42.06
W051,397,2,0.15450643776824036,Violation,15.45
W051,398,1,0.47513812154696133,Right,47.51
W051,398,0,0.43646408839779005,Left,43.65
W051,398,2,0.08839779005524862,Violation,8.84
W051,399,1,0.44047619047619047,Right,44.05
W051,399,0,0.43154761904761907,Left,43.15
W051,399,2,0.12797619047619047,Violation,12.8
W051,400,1,0.44473684210526315,Right,44.47
W051,400,0,0.42894736842105263,Left,42.89
W051,400,2,0.12631578947368421,Violation,12.63
W051,401,1,0.4369747899159664,Right,43.7
W051,401,0,0.43137254901960786,Left,43.14
W051,401,2,0.13165266106442577,Violation,13.17
W051,402,0,0.4813753581661891,Left,48.14
W051,402,1,0.4469914040114613,Right,44.7
W051,402,2,0.07163323782234957,Violation,7.16
W051,403,1,0.46462264150943394,Right,46.46
W051,403,0,0.42452830188679247,Left,42.45
W051,403,2,0.11084905660377359,Violation,11.08
W051,404,1,0.46153846153846156,Right,46.15
W051,404,0,0.4246153846153846,Left,42.46
W051,404,2,0.11384615384615385,Violation,11.38
W051,405,1,0.4506172839506173,Right,45.06
W051,405,0,0.36728395061728397,Left,36.73
W051,405,2,0.18209876543209877,Violation,18.21
W051,406,1,0.46782178217821785,Right,46.78
W051,406,0,0.39851485148514854,Left,39.85
W051,406,2,0.13366336633663367,Violation,13.37
W051,407,1,0.45098039215686275,Right,45.1
W051,407,0,0.4425770308123249,Left,44.26
W051,407,2,0.10644257703081232,Violation,10.64
W051,408,1,0.4601226993865031,Right,46.01
W051,408,0,0.4233128834355828,Left,42.33
W051,408,2,0.1165644171779141,Violation,11.66
W051,409,1,0.42073170731707316,Right,42.07
W051,409,0,0.39939024390243905,Left,39.94
W051,409,2,0.1798780487804878,Violation,17.99
W051,410,0,0.4586206896551724,Left,45.86
W051,410,1,0.3758620689655172,Right,37.59
W051,410,2,0.16551724137931034,Violation,16.55
W051,411,0,0.4208754208754209,Left,42.09
W051,411,1,0.39730639730639733,Right,39.73
W051,411,2,0.18181818181818182,Violation,18.18
W051,412,1,0.41901408450704225,Right,41.9
W051,412,0,0.40492957746478875,Left,40.49
W051,412,2,0.176056338028169,Violation,17.61
W051,413,0,0.4482758620689655,Left,44.83
W051,413,1,0.41379310344827586,Right,41.38
W051,413,2,0.13793103448275862,Violation,13.79
W051,414,1,0.4106583072100313,Right,41.07
W051,414,0,0.36363636363636365,Left,36.36
W051,414,2,0.22570532915360503,Violation,22.57
W051,415,1,0.44038929440389296,Right,44.04
W051,415,0,0.36739659367396593,Left,36.74
W051,415,2,0.1922141119221411,Violation,19.22
W051,416,1,0.43342776203966005,Right,43.34
W051,416,0,0.4192634560906516,Left,41.93
W051,416,2,0.14730878186968838,Violation,14.73
W051,417,1,0.4567901234567901,Right,45.68
W051,417,0,0.404320987654321,Left,40.43
W051,417,2,0.1388888888888889,Violation,13.89
W051,418,0,0.4565916398713826,Left,45.66
W051,418,1,0.43729903536977494,Right,43.73
W051,418,2,0.10610932475884244,Violation,10.61
