animal_id,trained_hit,violation_rate,prev_trial_not_started_rate,avg_delay_len,n_rig_switch
W051,0.7968358250626779,0.1596296796750921,0.01379270602934365,3.331276329407579,23
W060,0.8253682047457254,0.1543467586460978,0.011425866515115495,3.0719423735455167,22
W065,0.7756335367716725,0.3728070027405945,0.09651283920934065,3.6902112858924103,7
W066,0.7887677323121408,0.28022668019115704,0.03683202261756863,4.078184745078362,10
W068,0.7782523259317362,0.21473723915883408,0.020789299888623384,3.174428027163025,7
W072,0.7878346484176421,0.2182611341755203,0.02538911540026826,2.899156150331021,7
W073,0.8526658199839686,0.17032100652053525,0.014129574883030304,2.9185008619572606,11
W074,0.8699788469294579,0.13108508805742297,0.007260494295846017,2.6048083858403714,10
W075,0.8979056999176473,0.1702515788074684,0.004164546722973334,3.494459756381588,27
W078,0.8562640399449043,0.15259619758026752,0.013488468320864897,2.495817766640551,2
W080,0.768951653294884,0.23953791138496672,0.035220007692341036,2.921422098007363,16
W081,0.7543893152415369,0.24021418096013997,0.02286223099910798,3.2122925875373487,26
W083,0.808173374839007,0.29573561311138674,0.01722242422335649,3.351152200324393,9
W088,0.7950314419106503,0.2075636473601711,0.02212155057988451,3.2230708551666423,8
W089,0.788243036651002,0.13206686504469237,0.0165002836397267,3.246288911996046,19
W094,0.798527703184287,0.2721505830998231,0.015432049675653892,2.9484374197123056,30
