animal_id,viol_iti_mean,viol_iti_median
W051,6.750915877015216,4.0
W060,7.114417291892346,4.0
W065,3.266451419065716,1.0
W066,3.242800852923779,2.0
W068,5.636738321155818,3.0
W072,5.762710067296157,2.5
W073,7.24170378233806,4.0
W074,11.745782347824733,4.0
W075,6.199512461014051,3.0
W078,9.485322030727115,5.0
W080,6.95629488214723,3.0
W081,4.024494702137993,2.0
W082,1.179923661401774,1.0
W083,2.574722570254266,1.0
W088,4.733803458543474,2.0
W089,8.447850646073729,4.0
W094,4.409212980341665,2.0
