animal_id,trained_hit,trained_violation
W051,0.7968358250626779,0.1543699207010893
W060,0.8253682047457254,0.14989085855658066
W065,0.7756335367716725,0.26062617566420443
W066,0.7887677323121408,0.2533324349248886
W068,0.7782523259317362,0.16385735781617722
W072,0.7878346484176421,0.17972318923827008
W073,0.8526658199839686,0.1379100567067416
W074,0.8699788469294579,0.10030837533638515
W075,0.8979056999176473,0.16421254281506584
W078,0.8562640399449043,0.11081383120184495
W080,0.768951653294884,0.1577663184745038
W081,0.7543893152415369,0.22165216607229957
W083,0.808173374839007,0.3126013081127596
W088,0.7950314419106503,0.19801149193278073
W089,0.788243036651002,0.1245385412801864
W094,0.798527703184287,0.20871654402156833
