animal_id,hit_rate_prev_engaged,hit_rate_prev_disengaged
W051,0.8035221098451206,0.7637321783868835
W060,0.8308885814042636,0.7822485698394899
W065,0.7770993575800783,0.7672357834809036
W066,0.7879022443383513,0.7928905380602905
W068,0.7794605487802437,0.771098411007599
W072,0.7929262123263539,0.7532297900760138
W073,0.8576001027551868,0.8121461591149327
W074,0.8778384768852305,0.7804449506258716
W075,0.9023263671717341,0.8676512903452385
W078,0.8600712683612555,0.8160903184465839
W080,0.774339958499811,0.7287835884580101
W081,0.7588957562879236,0.7299925183090281
W082,0.8023976325025018,0.8021298800332896
W083,0.8097986555109904,0.7984880678915486
W088,0.8017056261281589,0.7594746729246306
W089,0.7938348075030421,0.7417538758512492
W094,0.807820353991927,0.7626508617598741
