animal_id,hit_rate,viol_rate,n_trials
W051,79.87219533591659,13.87598840135809,368.5074626865672
W060,82.53682047457252,13.91299833484361,344.7932489451477
W065,77.56335367716724,25.811982371730345,269.864406779661
W066,78.87367894259485,25.233504599800227,321.08539944903583
W068,77.82523259317362,16.069015083820823,429.1931818181818
W072,78.8398998791111,17.101505942582975,220.09443099273608
W073,85.27664861994671,13.069970281765775,315.50877192982455
W074,87.22334753125487,9.630015363826878,462.92202729044834
W075,89.79056999176473,16.26984351027743,427.34963768115944
W078,85.66759160687218,10.673980170446672,312.28682170542635
W080,76.89516532948839,14.661090547416613,287.4370860927152
W081,75.43893152415367,21.48245534939864,350.0701754385965
W083,80.84232707443313,31.28653066675759,428.30337078651684
W088,79.49948498130153,19.057274138131987,328.4248554913295
W089,78.87302882935865,12.39846977176985,347.80778032036613
W094,80.04536883661211,20.545480743921896,424.4516129032258
