animal_id,prev_violation,hit,percent_correct
W051,0,0.8034897750664595,80.34897750664595
W051,1,0.7640541326405261,76.40541326405261
W060,0,0.8306311940880574,83.06311940880575
W060,1,0.7830922079052732,78.30922079052732
W065,0,0.7769710739003517,77.69710739003517
W065,1,0.7673705565213362,76.73705565213362
W066,0,0.7879019408090374,78.79019408090375
W066,1,0.7929199842057898,79.29199842057898
W068,0,0.7793695341363903,77.93695341363903
W068,1,0.7716083234675182,77.16083234675182
W072,0,0.792682289037476,79.2682289037476
W072,1,0.7548760891683604,75.48760891683604
W073,0,0.8574901050692599,85.749010506926
W073,1,0.8123300402209257,81.23300402209257
W074,0,0.8777375056793403,87.77375056793403
W074,1,0.7808884237148145,78.08884237148145
W075,0,0.9021767020249031,90.21767020249031
W075,1,0.8684346216894858,86.84346216894858
W078,0,0.8598492239924099,85.98492239924099
W078,1,0.8169151004756525,81.69151004756526
W080,0,0.7739774632786827,77.39774632786826
W080,1,0.731158259962383,73.1158259962383
W081,0,0.758897664540587,75.8897664540587
W081,1,0.7298611874645358,72.98611874645357
W083,0,0.8097377064985951,80.97377064985952
W083,1,0.7986688908917425,79.86688908917425
W088,0,0.8015100948169943,80.15100948169943
W088,1,0.7599177296185636,75.99177296185637
W089,0,0.7935198215913487,79.35198215913488
W089,1,0.7435564476087315,74.35564476087315
W094,0,0.8076736894273703,80.76736894273702
W094,1,0.7633370576937378,76.33370576937378
