animal_id,hit_rate_wo_prev_viol,hit_rate_w_prev_viol
W051,80.34897750664595,76.40541326405261
W060,83.06311940880575,78.30922079052732
W065,77.69710739003517,76.73705565213362
W066,78.79019408090375,79.29199842057898
W068,77.93695341363903,77.16083234675182
W072,79.2682289037476,75.48760891683604
W073,85.749010506926,81.23300402209257
W074,87.77375056793403,78.08884237148145
W075,90.21767020249031,86.84346216894858
W078,85.98492239924099,81.69151004756526
W080,77.39774632786826,73.1158259962383
W081,75.8897664540587,72.98611874645357
W083,80.97377064985952,79.86688908917425
W088,80.15100948169943,75.99177296185637
W089,79.35198215913488,74.35564476087315
W094,80.76736894273702,76.33370576937378
