animal_id,prev_violation,hit,percent_correct
W051,0,0.8029357278518906,80.29357278518906
W051,1,0.766544777735395,76.6544777735395
W060,0,0.8306311940880574,83.06311940880575
W060,1,0.7830922079052732,78.30922079052732
W065,0,0.7769710739003517,77.69710739003517
W065,1,0.7673705565213362,76.73705565213362
W066,0,0.7878686128222855,78.78686128222854
W066,1,0.7929004800300482,79.29004800300483
W068,0,0.7793695341363903,77.93695341363903
W068,1,0.7716083234675182,77.16083234675182
W072,0,0.7930801387868609,79.3080138786861
W072,1,0.7556866271304347,75.56866271304347
W073,0,0.8578848171120401,85.78848171120401
W073,1,0.811859689444537,81.1859689444537
W074,0,0.8782789043258886,87.82789043258886
W074,1,0.782958164158147,78.2958164158147
W075,0,0.9021767020249031,90.21767020249031
W075,1,0.8684346216894858,86.84346216894858
W078,0,0.8598597137864004,85.98597137864003
W078,1,0.8200814380743954,82.00814380743954
W080,0,0.7739774632786827,77.39774632786826
W080,1,0.731158259962383,73.1158259962383
W081,0,0.758897664540587,75.8897664540587
W081,1,0.7298611874645358,72.98611874645357
W083,0,0.8099300655445819,80.99300655445819
W083,1,0.7993400569386903,79.93400569386903
W088,0,0.8014619106454197,80.14619106454197
W088,1,0.7599463935769988,75.99463935769988
W089,0,0.7938842830494905,79.38842830494906
W089,1,0.7443850812362315,74.43850812362315
W094,0,0.8064328745204501,80.64328745204502
W094,1,0.7661112752702566,76.61112752702566
