animal_id,prev_violation_tau
W051,1.0
W060,1.0
W065,3.0
W066,15.0
W068,30.0
W072,1.0
W073,2.0
W074,3.0
W075,12.0
W078,1.0
W080,2.0
W081,1.0
W083,10.0
W088,2.0
W089,2.0
W094,5.0
